,ID,First_Policy,Education,Salary,Area,Children,CMV,Claims,Motor,Household,Health,Life,Work_Compensations,Abandoned,Education_Class,Higher_Education,Years_Education,Customer_Years,Annual_Profit,Total_Premiums,Salary_Invested,Motor_Share,Household_Share,Health_Share,Life_Share,Work_Share,Incoherent
1328,1343,1983,Basic,3129.0,4,1,406.85,0.43,205.15,226.7,83.35,117.69,124.47,0,1,0,9,33.0,12.32878787878788,757.3600000000001,2.017044849259615,27.08751452413647,29.93292489701066,11.005334319214109,15.539505651209462,16.43472060842928,0
1329,1344,1983,BSc/MSc,1685.0,3,1,456.08,0.34,301.28,197.25,188.37,29.45,17.45,0,3,1,16,33.0,13.82060606060606,733.8000000000001,3.6290801186943624,41.057508857999444,26.88062142273099,25.670482420278002,4.013355137639683,2.3780321613518667,0
1330,1345,1978,High School,2739.0,1,0,117.14,0.84,186.37,401.75,205.26,37.34,81.57,0,2,0,12,38.0,3.0826315789473684,912.29,2.775617622003164,20.42881101404159,44.037531925155385,22.499424525096188,4.09299674445626,8.94123579125059,0
1331,1346,1990,BSc/MSc,2463.0,4,1,-26.1,1.0,303.17,0.0,165.03,78.57,50.23,1,3,1,16,26.0,-1.0038461538461538,597.0,2.019894437677629,50.78224455611391,0.0,27.643216080402013,13.1608040201005,8.413735343383584,0
1332,1347,1994,BSc/MSc,1406.0,4,1,-25.0,1.0,400.41,98.9,122.58,5.78,23.56,0,3,1,16,22.0,-1.1363636363636365,651.23,3.859826932195353,61.48518956436282,15.186646806811726,18.822842927997787,0.8875512491746387,3.617769451653025,0
1333,1348,1997,BSc/MSc,2716.0,1,1,488.32,0.22,520.32,70.0,52.9,8.89,1.89,0,3,1,16,19.0,25.701052631578946,654.0,2.0066273932253313,79.55963302752295,10.703363914373089,8.088685015290519,1.3593272171253823,0.2889908256880734,0
1334,1349,1977,BSc/MSc,4119.0,3,0,37.9,0.92,188.37,298.4,202.37,74.68,62.9,0,3,1,16,39.0,0.9717948717948718,826.7199999999999,1.6725742494132878,22.785223533965553,36.0944455196439,24.478662666924716,9.033288174956457,7.608380104509386,0
1335,1350,1981,High School,1206.0,4,1,158.48,0.82,183.48,579.0,177.7,28.34,72.79,0,2,0,12,35.0,4.528,1041.3100000000002,7.195342730790494,17.62011312673459,55.603038480375666,17.06504307074742,2.7215718662069888,6.990233455935312,0
1336,1351,1984,High School,3428.0,4,1,187.4,0.64,268.05,0.0,208.15,35.23,78.68,1,2,0,12,32.0,5.85625,590.1100000000001,1.434534227926877,45.42373455796376,0.0,35.273084679127614,5.970073376150207,13.3331073867584,0
1337,1352,1991,BSc/MSc,3258.0,1,0,223.49,0.63,248.49,93.35,295.5,14.67,10.67,0,3,1,16,25.0,8.9396,662.68,1.6950071618579903,37.49773646405505,14.086738697410514,44.59165811553088,2.2137381541618883,1.6101285688416733,0
1338,1353,1979,PhD,3339.0,3,0,-9.22,0.98,419.3,177.8,136.36,9.78,6.0,0,4,1,20,37.0,-0.2491891891891892,749.24,1.8699211340720774,55.963376221237525,23.73071378997384,18.199775772783088,1.3053227270300571,0.8008114889754953,0
1339,1354,1977,High School,2750.0,3,1,202.71,0.8,189.48,696.25,209.04,36.34,1.89,0,2,0,12,39.0,5.197692307692308,1133.0,3.4333333333333336,16.723742277140335,61.45189761694616,18.450132391879965,3.2074139452780233,0.16681376875551632,0
1340,1355,1976,Basic,613.0,1,1,231.27,0.83,11.78,1201.9,78.57,67.79,188.48,0,1,0,9,40.0,5.781750000000001,1548.52,21.05111473626971,0.7607263709864903,77.61604628936017,5.073876992224833,4.377728411644668,12.171621935783845,0
1341,1356,1984,Basic,2504.0,4,1,317.4,0.4,397.63,0.0,151.25,24.56,10.67,1,1,0,9,32.0,9.91875,584.1099999999999,1.943923056443024,68.07450651418398,0.0,25.894095290270673,4.204687473249901,1.8267107222954584,0
1342,1357,1977,High School,3831.0,3,0,-153.58,1.11,91.35,677.9,245.49,41.23,87.35,0,2,0,12,39.0,-3.9379487179487183,1143.32,2.4869920821369527,7.98988909491656,59.29223664415911,21.471678970017145,3.6061645033761325,7.6400307875310505,0
1343,1358,1988,BSc/MSc,3076.0,4,1,306.16,0.58,254.38,212.25,202.26,65.68,53.23,0,3,1,16,28.0,10.934285714285716,787.8,2.134265279583875,32.289921299822296,26.942117288651946,25.674028941355676,8.337141406448339,6.7567910637217565,0
1344,1359,1982,BSc/MSc,2227.0,4,0,-41.66,1.03,461.31,0.0,112.91,9.89,0.0,1,3,1,16,34.0,-1.2252941176470586,584.11,2.1857132165843436,78.97656263375049,0.0,19.330263135368337,1.6931742308811697,0.0,0
1345,1360,1991,PhD,2694.0,4,1,487.89,0.06,580.11,0.0,0.0,0.0,1.0,1,4,1,20,25.0,19.5156,581.11,1.7975439247710963,99.8279155409475,0.0,0.0,0.0,0.17208445905250297,0
1346,1361,1987,BSc/MSc,1325.0,3,1,475.09,0.26,434.97,83.9,124.58,10.89,18.78,0,3,1,16,29.0,16.382413793103446,673.12,4.233459119496855,64.61997860708344,12.46434513905396,18.50784406940813,1.61783931542667,2.789992869027811,0
1347,1362,1983,BSc/MSc,2253.0,4,1,-74.33,1.09,463.42,0.0,114.02,1.0,19.67,1,3,1,16,33.0,-2.2524242424242424,598.11,2.2122725255215268,77.4807309692197,0.0,19.063382989751048,0.16719332564244035,3.288692715386802,0
1348,1363,1975,High School,3904.0,3,0,-32.99,1.02,251.49,0.0,133.47,126.58,74.57,1,2,0,12,41.0,-0.8046341463414635,586.11,1.2510886270491803,42.908327788299125,0.0,22.772175871423453,21.596628619201173,12.722867721076248,0
1349,1364,1990,High School,3411.0,4,0,-35.0,1.01,236.71,329.5,261.27,0.0,36.12,1,2,0,12,26.0,-1.3461538461538463,863.6,2.109840711423825,27.40968040759611,38.15423807318203,30.253589624826304,0.0,4.182491894395553,0
1350,1365,1982,BSc/MSc,3560.0,1,1,411.66,0.24,429.97,0.0,113.02,13.67,22.56,1,3,1,16,34.0,12.107647058823531,579.2199999999999,1.3558520599250934,74.23258865370673,0.0,19.512447774593422,2.3600704395566456,3.8948931321432276,0
1351,1366,1990,BSc/MSc,3895.0,4,0,313.62,0.46,327.95,72.25,203.15,11.78,10.67,0,3,1,16,26.0,12.062307692307693,625.8,1.3388960205391527,52.40492170022372,11.545222115691915,32.46244806647491,1.882390540108661,1.7050175775007992,0
1352,1367,1978,BSc/MSc,2334.0,1,1,260.95,0.64,341.73,259.5,140.36,27.56,26.45,0,3,1,16,38.0,6.867105263157894,795.6,2.840616966580977,42.95248868778281,32.61689291101056,17.642031171442937,3.464052287581699,3.324534942182001,0
1353,1368,1974,BSc/MSc,1261.0,4,0,-25.0,1.0,168.92,230.6,175.7,69.57,115.69,0,3,1,16,42.0,-0.5952380952380952,760.48,5.0256410256410255,22.212286976646325,30.322953923837577,23.10382916053019,9.148169577109194,15.21276036187671,0
1354,1369,1989,BSc/MSc,2266.0,1,1,526.54,0.01,515.54,30.0,0.0,6.0,8.0,0,3,1,16,27.0,19.50148148148148,559.54,2.057737569873492,92.13639775529899,5.361546985023413,0.0,1.0723093970046826,1.42974586267291,0
1355,1370,1994,BSc/MSc,3235.0,4,1,565.23,0.19,375.07,195.6,121.69,20.56,19.56,0,3,1,16,22.0,25.692272727272726,732.4799999999998,1.886862442040185,51.20549366535606,26.7038007863696,16.613422892092622,2.80690257754478,2.6703800786369603,0
1356,1371,1981,High School,812.0,1,1,188.15,0.79,68.68,534.0,239.38,19.56,144.47,0,2,0,12,35.0,5.3757142857142854,1006.09,10.325225779967159,6.826427059209415,53.07676251627588,23.79310002087288,1.9441600652029143,14.359550338438906,0
1357,1372,1994,High School,1444.0,3,1,315.73,0.57,226.71,222.25,223.82,37.23,76.79,0,2,0,12,22.0,14.351363636363637,786.8,4.540627885503231,28.81418403660397,28.247330960854093,28.446873411286223,4.731825114387392,9.75978647686833,0
1358,1373,1981,Basic,647.0,2,1,110.69,0.85,244.49,344.5,172.92,123.69,12.0,0,1,0,9,35.0,3.1625714285714284,897.5999999999999,11.561051004636784,27.23819073083779,38.3801247771836,19.264705882352942,13.780080213903744,1.3368983957219254,0
1359,1374,1995,High School,4446.0,1,0,455.75,0.36,237.71,201.7,169.7,41.34,103.91,0,2,0,12,21.0,21.702380952380953,754.3599999999999,1.41393012445644,31.511479930006896,26.737897025292966,22.4958905562331,5.480142107216715,13.774590381250333,0
1360,1375,1993,PhD,3671.0,4,1,36.67,0.91,477.09,69.45,99.13,2.89,4.89,0,4,1,20,23.0,1.5943478260869566,653.4499999999999,1.4833605738672477,73.01094192363608,10.62820414721861,15.17025021042161,0.44226796235366145,0.748335756370036,0
1361,1376,1993,BSc/MSc,3597.0,1,0,136.02,0.79,333.95,202.25,147.25,41.23,55.12,0,3,1,16,23.0,5.913913043478261,779.8000000000001,1.806598091001761,42.82508335470633,25.93613747114645,18.883046935111565,5.287253141831238,7.068479097204411,0
1362,1377,1983,BSc/MSc,1460.0,3,1,184.15,0.62,285.83,0.0,182.7,76.68,0.0,0,3,1,16,33.0,5.58030303030303,545.21,3.1119292237442924,52.425670842427685,0.0,33.510023660607835,14.064305496964472,0.0,0
1363,1378,1987,Basic,1639.0,4,1,-222.37,1.32,157.14,28.9,236.71,139.47,57.9,0,1,0,9,29.0,-7.667931034482759,620.12,3.152938783811267,25.340256724504933,4.6603883119396246,38.17164419789718,22.49080823066503,9.336902534993227,0
1364,1379,1976,PhD,2472.0,3,0,431.44,0.18,574.44,0.0,31.56,0.0,6.0,1,4,1,20,40.0,10.786,612.0,2.063106796116505,93.86274509803923,0.0,5.156862745098039,0.0,0.9803921568627451,0
1365,1380,1995,BSc/MSc,1619.0,4,1,572.9,0.49,97.13,750.15,176.59,106.13,46.12,0,3,1,16,21.0,27.280952380952378,1176.12,6.053736874613959,8.258511036288814,63.781756963575155,15.014624358058704,9.023739074244125,3.9213685678332144,0
1366,1381,1982,High School,3796.0,4,0,259.39,0.63,226.6,250.05,223.71,7.89,57.79,0,2,0,12,34.0,7.629117647058823,766.04,1.681682472778363,29.580700746697303,32.64189859537361,29.20343585191374,1.0299723252049502,7.543992480810402,0
1367,1382,1986,High School,1326.0,4,1,292.06,0.54,260.16,99.45,219.04,55.9,56.9,0,2,0,12,30.0,9.735333333333333,691.4499999999999,4.345462543991956,37.62528020825802,14.382818714296047,31.678357075710466,8.084460192349411,8.229083809386072,0
1368,1383,1989,High School,2553.0,1,0,80.57,0.84,430.97,98.9,128.47,10.78,0.0,1,2,0,12,27.0,2.9840740740740737,669.12,2.18409714061888,64.4084768053563,14.78060736489718,19.19984457197513,1.611071257771401,0.0,0
1369,1384,1997,BSc/MSc,3425.0,3,1,211.15,0.67,245.6,118.35,224.93,117.8,3.0,0,3,1,16,19.0,11.113157894736842,709.68,1.7267153284671533,34.607146883102246,16.676530267162665,31.694566565212494,16.599030548979822,0.4227257355427799,0
1370,1385,1994,BSc/MSc,3204.0,2,1,637.67,0.11,466.31,162.8,48.12,18.67,52.23,0,3,1,16,22.0,28.985,748.13,1.9458229296712444,62.3300763236336,21.760923903599643,6.432037212783874,2.495555585259247,6.981406974723645,0
1371,1386,1995,High School,1383.0,1,1,-51.45,1.02,61.01,634.55,148.25,87.46,192.37,0,2,0,12,21.0,-2.45,1123.6399999999999,6.770547119787899,5.4296749848706,56.472713680538256,13.193727528389879,7.78363176818198,17.120252038019295,0
1372,1387,1998,BSc/MSc,3952.0,1,0,424.31,0.39,423.97,182.8,106.02,18.56,6.78,0,3,1,16,18.0,23.572777777777777,738.1299999999999,1.5564482118758434,57.43839161123381,24.765285247856074,14.363323533794862,2.514462222101798,0.9185373850134801,0
1373,1388,1991,PhD,3934.0,4,0,389.19,0.38,347.51,93.35,199.15,0.0,26.67,0,4,1,20,25.0,15.5676,666.68,1.412218268090154,52.12545749085019,14.00221995560089,29.871902561948765,0.0,4.000419991600169,0
1374,1389,1995,High School,3805.0,1,1,18.34,0.95,455.53,270.6,39.23,16.67,43.34,0,2,0,12,21.0,0.8733333333333333,825.37,1.8076434515987734,55.19100524613203,32.78529629136024,4.753019857760762,2.019700255642924,5.250978349104039,0
1375,1390,1983,BSc/MSc,3908.0,1,0,274.61,0.5,310.39,23.35,184.48,34.34,45.12,0,3,1,16,33.0,8.321515151515152,597.6800000000001,1.2744796997611738,51.932472225940295,3.9067728550394856,30.86601525900147,5.745549457903895,7.549190202114843,0
1376,1391,1985,High School,4411.0,4,0,-0.66,0.96,368.96,123.9,168.7,0.0,27.67,1,2,0,12,31.0,-0.02129032258064516,689.2299999999999,1.302104587017305,53.5322026029047,17.976582563150185,24.476589817622564,0.0,4.014625016322563,0
1377,1392,1989,High School,2054.0,4,1,439.65,0.22,475.2,0.0,108.13,13.78,8.0,1,2,0,12,27.0,16.28333333333333,605.1099999999999,2.4550064913988963,78.53117614979097,0.0,17.86947827667697,2.2772719009766824,1.3220736725554034,0
1378,1393,1988,High School,3855.0,1,0,775.38,0.37,98.02,867.95,222.82,74.57,7.0,0,2,0,12,28.0,27.69214285714286,1270.36,2.746130566364029,7.7159230454359395,68.32315249220694,17.53990994678674,5.869989609244623,0.551024906325766,0
1379,1394,1979,BSc/MSc,3634.0,1,1,725.8,0.18,327.84,412.85,148.14,18.78,8.67,0,3,1,16,37.0,19.616216216216216,916.28,2.101174096496056,35.77945606146592,45.05718775920025,16.16754703802331,2.0495918278255556,0.946217313484961,0
1380,1395,1990,BSc/MSc,3121.0,4,1,329.4,0.39,354.4,4.45,205.04,12.89,3.78,0,3,1,16,26.0,12.669230769230769,580.56,1.5501441845562318,61.04450875017224,0.7665013090808875,35.317624362684306,2.2202700840567733,0.6510954940057876,0
1381,1396,1997,PhD,1171.0,4,1,39.89,0.9,520.43,65.0,70.68,9.89,10.0,0,4,1,20,19.0,2.099473684210526,675.9999999999999,4.810703102761172,76.98668639053255,9.615384615384617,10.45562130177515,1.4630177514792901,1.4792899408284026,0
1382,1397,1980,PhD,2027.0,1,1,550.1,0.14,493.76,74.45,83.46,10.89,6.89,0,4,1,20,36.0,15.280555555555557,669.45,2.752220029600395,73.75606841437,11.121069534692658,12.46695048173874,1.626708492045709,1.0292030771528866,0
1383,1398,1992,BSc/MSc,3186.0,1,1,223.49,0.63,264.05,102.8,213.04,41.34,56.9,0,3,1,16,24.0,9.312083333333334,678.13,1.7737235823394017,38.93796174774749,15.159335230707976,31.41580522908587,6.096176249391711,8.390721543066963,0
1384,1399,1982,High School,2063.0,1,1,-25.0,1.0,167.92,107.8,254.27,79.57,74.68,0,2,0,12,34.0,-0.7352941176470589,684.24,2.7639360155113915,24.54109669121945,15.754705951128258,37.16093768268444,11.628960598620367,10.914299076347481,0
1385,1400,1991,BSc/MSc,3409.0,4,0,278.95,0.63,163.81,303.95,321.06,8.78,19.56,0,3,1,16,25.0,11.158,817.1599999999999,1.9975554903686317,20.046257770816002,37.195897988154094,39.28973518038084,1.0744529835038426,2.393656077145235,0
1386,1401,1992,High School,3953.0,4,0,175.37,0.69,220.82,92.8,230.71,78.46,20.45,0,2,0,12,24.0,7.307083333333334,643.2400000000001,1.3560165275318325,34.32933275293824,14.426963497294942,35.86686151358746,12.197624525837943,3.1792177103413963,0
1387,1402,1979,PhD,3005.0,1,1,9.56,0.94,440.64,49.45,119.69,2.89,14.89,0,4,1,20,37.0,0.2583783783783784,627.56,1.7403216860787576,70.21480017846899,7.879724647842439,19.07227994136019,0.4605137357384155,2.372681496589968,0
1388,1403,1993,High School,1016.0,3,0,58.35,0.93,83.35,712.9,88.24,93.24,194.59,0,2,0,12,23.0,2.5369565217391306,1172.32,9.615485564304462,7.109833492561759,60.81104135389654,7.526955097584278,7.95345980619626,16.598710249761158,0
1389,1404,1981,BSc/MSc,2860.0,4,1,-58.0,1.05,516.32,60.0,62.79,0.0,0.0,1,3,1,16,35.0,-1.6571428571428573,639.11,1.8622086247086247,80.78734490150366,9.388055264351989,9.824599834144356,0.0,0.0,0
1390,1405,1975,BSc/MSc,3566.0,3,0,385.2,0.32,346.51,18.35,129.69,64.79,45.34,0,3,1,16,41.0,9.395121951219512,604.6800000000001,1.413067863151991,57.30469008401137,3.034662962227955,21.447707878547327,10.714758219223391,7.498180855989944,0
1391,1406,1981,High School,1750.0,2,1,109.47,0.87,88.35,602.35,199.26,134.47,34.34,0,2,0,12,35.0,3.1277142857142857,1058.77,5.041761904761905,8.344588531975782,56.89148729185754,18.81995145310124,12.700586529652332,3.2433861934131123,0
1392,1407,1993,Basic,4872.0,4,0,246.61,0.69,212.93,391.75,220.04,19.56,39.12,0,1,0,9,23.0,10.722173913043479,883.4,1.511015325670498,24.103463889517773,44.34570975775413,24.9083088068825,2.2141725152818656,4.428345030563731,0
1393,1408,1977,High School,4053.0,4,0,390.85,0.45,255.38,196.7,228.82,36.23,38.23,0,2,0,12,39.0,10.021794871794873,755.36,1.5530882473887655,33.809044693920775,26.04056343994916,30.29284049989409,4.79638847701758,5.0611628892183855,0
1394,1409,1997,BSc/MSc,1827.0,3,0,39.13,0.9,384.63,53.35,155.25,10.78,16.67,0,3,1,16,19.0,2.0594736842105266,620.68,2.8310527276044515,61.96913063092093,8.595411484178642,25.012889089385837,1.7368047947412515,2.6857640007733456,0
1395,1410,1989,BSc/MSc,1961.0,3,1,-24.1,1.0,481.09,0.0,106.13,11.89,9.89,1,3,1,16,27.0,-0.8925925925925926,609.0,2.5879653238143807,78.9967159277504,0.0,17.42692939244663,1.9523809523809523,1.6239737274220032,0
1396,1411,1994,High School,2509.0,4,0,80.91,0.84,321.84,122.8,119.8,41.12,64.79,0,2,0,12,22.0,3.6777272727272727,670.3499999999999,2.2264846552411317,48.0107406578653,18.318788692474083,17.871261281420157,6.134109047512494,9.66510032072798,0
1397,1412,1990,BSc/MSc,1603.0,2,1,196.37,0.71,273.83,226.15,226.71,4.78,34.45,0,3,1,16,26.0,7.552692307692308,765.9200000000001,3.9817009773341656,35.75177564236473,29.526582410695635,29.599697096302485,0.6240860664299144,4.497858784207228,0
1398,1413,1989,BSc/MSc,2310.0,1,1,562.32,0.26,350.62,236.7,165.03,34.23,1.78,0,3,1,16,27.0,20.826666666666668,788.3599999999999,2.8440115440115434,44.47460551017302,30.02435435587803,20.933329950783907,4.341925008879192,0.22578517428585929,0
1399,1414,1979,PhD,2897.0,4,1,362.42,0.25,452.42,0.0,114.8,6.89,10.89,1,4,1,20,37.0,9.795135135135135,585.0,1.6827752847773558,77.33675213675214,0.0,19.62393162393162,1.1777777777777778,1.8615384615384616,0
1400,1415,1991,High School,3585.0,1,0,388.08,0.44,277.83,196.15,159.03,60.9,43.01,0,2,0,12,25.0,15.5232,736.92,1.712970711297071,37.70151441133366,26.617543288280952,21.580361504640937,8.264126363784401,5.836454431960051,0
1401,1416,1994,BSc/MSc,1853.0,3,1,-52.22,1.04,485.09,79.45,101.13,0.0,0.0,1,3,1,16,22.0,-2.3736363636363635,665.67,2.993658931462493,72.87244430423483,11.935343338290746,15.192212357474425,0.0,0.0,0
1402,1417,1982,High School,2077.0,1,0,331.51,0.48,228.71,127.8,184.59,48.23,101.91,0,2,0,12,34.0,9.750294117647059,691.24,2.7733911089712726,33.08691626641977,18.4885133962155,26.70418378566055,6.9773161275389155,14.743070424165266,0
1403,1418,1985,PhD,1424.0,4,1,-38.89,1.02,329.73,39.45,224.82,16.67,13.89,0,4,1,20,31.0,-1.2545161290322582,624.56,3.6549625468164795,52.79396695273473,6.316446778532088,35.99654156526195,2.6690790316382738,2.223965671832971,0
1404,1419,1994,BSc/MSc,1721.0,4,1,340.18,0.52,365.18,202.25,148.25,43.12,8.89,0,3,1,16,22.0,15.462727272727273,767.69,3.7172670927755185,47.56868006617254,26.345269574958643,19.31118029412914,5.616850551654965,1.1580195130847086,0
1405,1420,1982,High School,2134.0,1,1,466.89,0.15,532.99,0.0,35.45,13.78,13.89,1,2,0,12,34.0,13.732058823529412,596.11,2.3278272414870353,89.41135025414772,0.0,5.946888996997199,2.311653889382832,2.330106859472245,0
1406,1421,1976,BSc/MSc,3682.0,2,1,-42.56,1.03,398.63,78.9,128.47,18.56,17.56,0,3,1,16,40.0,-1.064,642.1199999999999,1.4532862574687668,62.08029651778485,12.28742291160531,20.007163770011836,2.890425465645051,2.7346913349529687,0
1407,1422,1976,BSc/MSc,3151.0,3,1,305.29,0.41,337.73,0.0,212.15,27.56,19.56,1,3,1,16,40.0,7.632250000000001,596.9999999999999,1.57886385274516,56.571189279732,0.0,35.536013400335015,4.616415410385261,3.276381909547739,0
1408,1423,1990,PhD,1703.0,3,1,-65.12,1.06,309.39,152.25,213.04,16.67,23.45,0,4,1,20,26.0,-2.5046153846153847,714.8,3.4977490702681537,43.28343592613319,21.299664241745944,29.804141018466705,2.3321208729714606,3.280637940682708,0
1409,1424,1997,BSc/MSc,2751.0,3,1,487.32,0.13,525.21,15.0,51.9,6.89,0.0,1,3,1,16,19.0,25.64842105263158,599.0,1.8144916999878833,87.68113522537563,2.5041736227045077,8.664440734557596,1.1502504173622703,0.0,0
1410,1425,1976,Basic,3604.0,4,0,186.48,0.72,107.8,236.15,274.94,140.25,7.78,0,1,0,9,40.0,4.662,766.92,1.77330743618202,14.056224899598394,30.791999165493145,35.84989307880874,18.287435456110156,1.014447399989569,0
1411,1426,1994,High School,2734.0,4,0,364.42,0.54,170.7,347.3,108.02,182.59,42.12,0,2,0,12,22.0,16.564545454545456,850.73,2.59305657156791,20.065120543533197,40.82376312108424,12.697330527899567,21.462743761240347,4.951042046242638,0
1412,1427,1976,High School,1457.0,1,1,-30.0,1.01,355.4,123.35,213.15,0.89,5.89,0,2,0,12,40.0,-0.75,698.68,3.9961107298101117,50.8673498597355,17.6547203297647,30.507528482280875,0.12738306520867923,0.8430182630102478,0
1413,1428,1986,BSc/MSc,1698.0,3,1,24.45,0.92,497.54,69.45,76.57,2.0,0.0,1,3,1,16,30.0,0.815,645.56,3.168237141735375,77.07107007869138,10.758101493277156,11.86101988970816,0.30980853832331623,0.0,0
1414,1429,1996,Basic,4268.0,1,0,362.53,0.53,67.68,435.65,200.15,115.8,0.0,0,1,0,9,20.0,18.1265,819.28,1.5996563573883162,8.260912020310517,53.174738795039545,24.429987305927156,14.134361878722782,0.0,0
1415,1430,1986,BSc/MSc,2016.0,4,1,17.36,0.93,452.53,42.8,91.24,6.89,0.0,1,3,1,16,30.0,0.5786666666666667,593.4599999999999,2.4531249999999996,76.2528224311664,7.211943517676002,15.374245947494355,1.160988103663263,0.0,0
1416,1431,1989,BSc/MSc,2554.0,4,1,-23.0,1.0,466.31,68.35,92.13,0.89,2.0,0,3,1,16,27.0,-0.8518518518518519,629.68,2.054554946489167,74.0550755939525,10.8547198577055,14.631241265404652,0.14134163384576293,0.31762164909160207,0
1417,1432,1990,Basic,1421.0,4,1,256.84,0.64,92.24,273.95,194.26,84.35,144.36,0,1,0,9,26.0,9.878461538461538,789.1600000000001,4.627961529439363,11.688377515332757,34.71412641289472,24.616047442850622,10.688580262557656,18.292868366364235,0
1418,1433,1997,BSc/MSc,2351.0,2,1,-1.44,0.97,350.29,158.35,179.59,7.89,23.56,0,3,1,16,19.0,-0.07578947368421052,719.68,2.5509712179214517,48.67302134281904,22.002834593152514,24.954146287238775,1.0963205869275234,3.2736771898621613,0
1419,1434,1992,BSc/MSc,3980.0,3,0,184.93,0.66,209.93,44.45,299.39,40.23,26.56,0,3,1,16,24.0,7.705416666666667,620.56,1.2993299832495813,33.82912208327962,7.162885136006189,48.2451334278716,6.482854196209875,4.280005156632719,0
1420,1435,1998,High School,1600.0,1,0,-8.44,0.98,164.92,333.95,196.26,16.56,133.47,0,2,0,12,18.0,-0.46888888888888886,845.16,4.4018749999999995,19.51346490605329,39.513228264470634,23.221638506318328,1.959392304415732,15.792276018742013,0
1421,1436,1981,High School,3746.0,3,1,107.47,0.81,429.86,142.25,84.35,9.78,27.56,0,2,0,12,35.0,3.0705714285714287,693.8,1.5434240968143795,61.957336408186805,20.50302680887864,12.1576823292015,1.4096281349091957,3.9723263188238684,0
1422,1437,1989,Basic,823.0,4,0,281.28,0.6,129.58,177.8,58.01,176.7,218.15,0,1,0,9,27.0,10.417777777777777,760.2399999999999,7.697853381936006,17.044617489213937,23.387351362727564,7.630485109965275,23.242660212564456,28.694885825528786,0
1423,1438,1988,High School,2499.0,3,1,314.39,0.47,262.94,79.45,156.92,141.25,3.0,0,2,0,12,28.0,11.228214285714285,643.56,2.1460584233693476,40.85710734041893,12.345391261110077,24.38311890111256,21.94822549568028,0.46615700167816526,0
1424,1439,1986,PhD,1648.0,2,1,307.5,0.62,274.05,329.5,169.92,3.0,102.13,0,4,1,20,30.0,10.25,878.5999999999999,4.442758899676376,31.191668563623953,37.50284543592079,19.33985886637833,0.34145231049396774,11.624174823582974,0
1425,1440,1978,BSc/MSc,380.0,4,0,-5.55,0.98,207.93,705.7,126.58,51.9,32.45,0,3,1,16,38.0,-0.14605263157894735,1124.5600000000002,24.661403508771933,18.48989827132389,62.75343245358184,11.25595788575087,4.6151383652272875,2.885573024116099,0
1426,1441,1988,BSc/MSc,2584.0,4,1,-55.56,1.04,345.4,152.25,160.92,30.56,7.67,0,3,1,16,28.0,-1.9842857142857144,696.7999999999998,2.247162022703818,49.56946039035592,21.849885189437433,23.094144661308842,4.385763490241103,1.1007462686567167,0
1427,1442,1988,High School,2963.0,4,1,413.64,0.43,415.08,241.15,85.35,23.56,9.78,0,2,0,12,28.0,14.772857142857143,774.92,2.1794352570592865,53.564238889175655,31.119341351365303,11.014040158984153,3.040313838847881,1.2620657616270066,0
1428,1443,1976,BSc/MSc,2884.0,4,1,506.1,0.13,529.1,25.0,50.01,0.0,5.0,1,3,1,16,40.0,12.6525,609.11,1.7600265834489135,86.8644415622794,4.104348968166669,8.210339675920606,0.0,0.8208697936333338,0
1429,1444,1986,BSc/MSc,2951.0,1,0,-47.67,1.03,273.72,211.7,240.38,0.0,7.67,1,3,1,16,30.0,-1.589,733.4699999999999,2.071247034903422,37.31849973414047,28.86280284128867,32.77298321676415,0.0,1.045714207806727,0
1430,1445,1978,Basic,2955.0,1,1,256.05,0.7,210.26,408.4,176.7,70.79,73.57,0,1,0,9,38.0,6.738157894736842,939.7199999999998,2.6500846023688656,22.37474992550973,43.45975396926745,18.80347337504789,7.5330949644575,7.828927765717449,0
1431,1446,1993,High School,3657.0,4,0,161.48,0.79,249.38,330.05,235.71,19.67,43.23,0,2,0,12,23.0,7.0208695652173905,878.0400000000001,2.0008203445447093,28.40189513006241,37.589403671814495,26.845018450184497,2.24021684661291,4.923465901325679,0
1432,1447,1997,Basic,388.0,4,1,798.49,0.25,60.9,637.9,275.83,48.12,76.57,0,1,0,9,19.0,42.02578947368421,1099.32,23.61082474226804,5.539788232725685,58.02678019139105,25.090965324018484,4.377251391769457,6.965214860095331,0
1433,1448,1977,BSc/MSc,1894.0,1,1,431.42,0.24,469.31,9.45,99.02,9.89,12.89,0,3,1,16,39.0,11.062051282051282,600.56,2.6423794438577963,78.14539762887972,1.5735313707206606,16.487944585053953,1.6467963234314642,2.146330091914214,0
1434,1449,1998,BSc/MSc,3745.0,2,0,-127.0,1.19,356.51,0.0,217.04,18.56,0.0,1,3,1,16,18.0,-7.055555555555555,592.1099999999999,1.3175567423230972,60.210096097009014,0.0,36.655351201634836,3.134552701356167,0.0,0
1435,1450,1992,PhD,2030.0,3,1,-100.57,1.11,319.95,98.35,160.92,8.89,75.57,0,4,1,20,24.0,-4.190416666666667,663.6799999999998,2.724466338259441,48.20847396335585,14.818888621022182,24.246624879459986,1.3395009643201548,11.386511571841854,0
1436,1451,1991,High School,2181.0,2,0,141.48,0.73,269.94,33.9,178.7,46.12,86.46,0,2,0,12,25.0,5.659199999999999,615.12,2.3502980284273267,43.88412017167382,5.511119781506047,29.051242034074647,7.49772402132917,14.055793991416307,0
